cases,gamma
43.00,0.96
47.00,0.98
83.00,0.44
51.00,0.62
62.00,0.77
77.00,0.54
122.00,0.30
71.00,0.96
43.00,0.81
64.00,0.81
46.00,0.86
81.00,0.34
62.00,0.89
98.00,0.53
93.00,0.25
59.00,0.94
57.00,0.80
58.00,0.25
93.00,0.32
22.00,0.83
61.00,0.67
68.00,0.78
54.00,0.92
82.00,0.39
118.00,0.19
95.00,0.24
56.00,0.87
58.00,1.00
100.00,0.42
73.00,0.25
80.00,0.20
95.00,0.25
76.00,0.33
97.00,0.29
33.00,0.96
41.00,0.85
51.00,0.86
56.00,0.71
62.00,0.70
99.00,0.19
75.00,0.88
64.00,0.45
75.00,0.62
46.00,0.71
84.00,0.60
115.00,0.46
90.00,0.17
48.00,0.92
43.00,0.67
81.00,0.22
58.00,0.94
94.00,0.20
117.00,0.23
65.00,0.67
63.00,0.66
54.00,0.73
65.00,0.44
53.00,0.73
80.00,0.77
71.00,0.88
101.00,0.67
53.00,0.79
85.00,0.42
107.00,0.50
106.00,0.28
80.00,0.21
72.00,0.74
81.00,0.75
63.00,0.90
69.00,0.41
59.00,0.85
62.00,0.53
118.00,0.23
88.00,0.73
49.00,0.94
48.00,0.59
41.00,0.90
55.00,0.76
72.00,0.32
82.00,0.17
107.00,0.62
105.00,0.44
90.00,0.58
59.00,0.80
79.00,0.42
71.00,0.35
55.00,0.70
43.00,0.66
71.00,0.49
61.00,0.75
82.00,0.38
90.00,0.17
96.00,0.43
84.00,0.70
57.00,0.53
84.00,0.24
66.00,0.34
69.00,0.97
66.00,0.71
87.00,0.35
82.00,0.72
75.00,0.41
52.00,0.78
78.00,0.21
86.00,0.30
71.00,0.59
74.00,0.65
109.00,0.42
99.00,0.62
46.00,0.54
77.00,0.18
37.00,0.92
49.00,0.94
76.00,0.70
47.00,0.76
62.00,0.74
70.00,0.36
77.00,0.39
83.00,0.59
74.00,0.62
98.00,0.28
56.00,0.82
95.00,0.42
71.00,0.75
42.00,0.96
91.00,0.39
43.00,0.71
53.00,0.69
55.00,0.70
51.00,0.86
80.00,0.26
90.00,0.25
82.00,0.66
91.00,0.66
61.00,0.88
47.00,0.79
